model	strategy	subset	trajectory_length	k	total	agent_acc	step_acc
gpt-oss-20b	all-at-once	hand-crafted	5-23	1	20	50.0	55.0
gpt-oss-20b	all-at-once	hand-crafted	24-58	1	19	31.58	15.79
gpt-oss-20b	all-at-once	hand-crafted	59+	1	19	21.05	0.0
gpt-oss-20b	all-at-once	hand-crafted	all	1	58	34.48	24.14
gpt-oss-20b	all-at-once	hand-crafted	5-23	3	20	50.0	55.0
gpt-oss-20b	all-at-once	hand-crafted	24-58	3	19	31.58	15.79
gpt-oss-20b	all-at-once	hand-crafted	59+	3	19	21.05	0.0
gpt-oss-20b	all-at-once	hand-crafted	all	3	58	34.48	24.14
gpt-oss-20b	all-at-once	hand-crafted	5-23	5	20	50.0	55.0
gpt-oss-20b	all-at-once	hand-crafted	24-58	5	19	31.58	15.79
gpt-oss-20b	all-at-once	hand-crafted	59+	5	19	21.05	0.0
gpt-oss-20b	all-at-once	hand-crafted	all	5	58	34.48	24.14
gpt-oss-20b	all-at-once	hand-crafted	5-23	10	20	50.0	55.0
gpt-oss-20b	all-at-once	hand-crafted	24-58	10	19	31.58	15.79
gpt-oss-20b	all-at-once	hand-crafted	59+	10	19	21.05	0.0
gpt-oss-20b	all-at-once	hand-crafted	all	10	58	34.48	24.14
gpt-oss-20b	all-at-once	hand-crafted	5-23	20	20	50.0	55.0
gpt-oss-20b	all-at-once	hand-crafted	24-58	20	19	31.58	15.79
gpt-oss-20b	all-at-once	hand-crafted	59+	20	19	21.05	0.0
gpt-oss-20b	all-at-once	hand-crafted	all	20	58	34.48	24.14
gpt-oss-20b	step-by-step	hand-crafted	5-23	1	20	40.0	40.0
gpt-oss-20b	step-by-step	hand-crafted	24-58	1	19	26.32	10.53
gpt-oss-20b	step-by-step	hand-crafted	59+	1	19	26.32	5.26
gpt-oss-20b	step-by-step	hand-crafted	all	1	58	31.03	18.97
gpt-oss-20b	step-by-step	hand-crafted	5-23	3	20	55.0	75.0
gpt-oss-20b	step-by-step	hand-crafted	24-58	3	19	47.37	26.32
gpt-oss-20b	step-by-step	hand-crafted	59+	3	19	52.63	21.05
gpt-oss-20b	step-by-step	hand-crafted	all	3	58	51.72	41.38
gpt-oss-20b	step-by-step	hand-crafted	5-23	5	20	60.0	80.0
gpt-oss-20b	step-by-step	hand-crafted	24-58	5	19	52.63	31.58
gpt-oss-20b	step-by-step	hand-crafted	59+	5	19	63.16	31.58
gpt-oss-20b	step-by-step	hand-crafted	all	5	58	58.62	48.28
gpt-oss-20b	step-by-step	hand-crafted	5-23	10	20	60.0	80.0
gpt-oss-20b	step-by-step	hand-crafted	24-58	10	19	52.63	36.84
gpt-oss-20b	step-by-step	hand-crafted	59+	10	19	63.16	36.84
gpt-oss-20b	step-by-step	hand-crafted	all	10	58	58.62	51.72
gpt-oss-20b	step-by-step	hand-crafted	5-23	20	20	60.0	80.0
gpt-oss-20b	step-by-step	hand-crafted	24-58	20	19	52.63	36.84
gpt-oss-20b	step-by-step	hand-crafted	59+	20	19	63.16	36.84
gpt-oss-20b	step-by-step	hand-crafted	all	20	58	58.62	51.72
gpt-oss-20b-v2	agent-grad	hand-crafted	5-23	1	19	0.0	5.26
gpt-oss-20b-v2	agent-grad	hand-crafted	24-58	1	19	0.0	0.0
gpt-oss-20b-v2	agent-grad	hand-crafted	59+	1	20	0.0	0.0
gpt-oss-20b-v2	agent-grad	hand-crafted	all	1	58	0.0	1.72
gpt-oss-20b-v2	agent-grad	hand-crafted	5-23	3	19	15.79	10.53
gpt-oss-20b-v2	agent-grad	hand-crafted	24-58	3	19	10.53	10.53
gpt-oss-20b-v2	agent-grad	hand-crafted	59+	3	20	15.0	15.0
gpt-oss-20b-v2	agent-grad	hand-crafted	all	3	58	13.79	12.07
gpt-oss-20b-v2	agent-grad	hand-crafted	5-23	5	19	52.63	42.11
gpt-oss-20b-v2	agent-grad	hand-crafted	24-58	5	19	36.84	26.32
gpt-oss-20b-v2	agent-grad	hand-crafted	59+	5	20	45.0	25.0
gpt-oss-20b-v2	agent-grad	hand-crafted	all	5	58	44.83	31.03
gpt-oss-20b-v2	agent-grad	hand-crafted	5-23	10	19	57.89	78.95
gpt-oss-20b-v2	agent-grad	hand-crafted	24-58	10	19	47.37	36.84
gpt-oss-20b-v2	agent-grad	hand-crafted	59+	10	20	70.0	40.0
gpt-oss-20b-v2	agent-grad	hand-crafted	all	10	58	58.62	51.72
gpt-oss-20b-v2	agent-grad	hand-crafted	5-23	20	19	57.89	84.21
gpt-oss-20b-v2	agent-grad	hand-crafted	24-58	20	19	63.16	47.37
gpt-oss-20b-v2	agent-grad	hand-crafted	59+	20	20	70.0	45.0
gpt-oss-20b-v2	agent-grad	hand-crafted	all	20	58	63.79	58.62
